"","geoid2","date","month","day","year","elapsed","date_rep","cases","deaths","country","population_2019","continent","Cumulative_number_for_14_days_of_COVID.19_cases_per_100000","cases_cum","deaths_cum","deaths_cum_log","deaths_cum_l7","deaths_cum_g7","region","gov_effect","trade","ineq","gdp_pc","pop_tot","older_m","older_f","air_travel","fdi","pop_density","urban","migration_share","oil","soc_insur_cov","soc_contrib","soc_safety","pop_below14_2018","polity","gini","elf_epr","rq_polarization","count_powerless","share_powerless","media_critical","journal_harass","health_equality","property_rights","transparent_law","bureaucracy_corrupt","polar_rile","trust_people","trust_gov","electoral_pop","federal_ind","checks_veto","polariz_veto","dist_senate","dist_presid","dist_parlm","dist_anyelec","elect_pressure","pos_gov_lr","woman_leader","infections_mers","infections_sars","infections_ebola","infection","med_age_2013","vdem_libdem","al_etfra","al_religfra","fe_etfra","vdem_mecorrpt","share_health_ins","pandemic_prep","pop_den_2018","life_exp_2017","resp_disease_prev","detect_index","doctors_pc","hosp_beds_pc","literacy_rate","healthcare_qual","acc_sanitation","health_exp_pc","hdi","health_index","respond_index","state_fragility","pr","share_older","pop_tot_log","pop_density_log","distancing_bin","lockdown_bin","lockdown_n","distancing_n","days_rel_lockdown","days_rel_distancing","retail","grocery","parks","transit","work","residential","mobility_index","stringency","C1_School.closing","C2_Workplace.closing","C3_Cancel.public.events","C4_Restrictions.on.gatherings","C5_Close.public.transport","C6_Stay.at.home.requirements","C7_Restrictions.on.internal.movement","C8_International.travel.controls","H1_Public.information.campaigns","temp_mean","precip","excess_deaths_weekly","excess_deaths_source","excess_deaths_last_obs","excess_deaths_cum","excess_deaths_cum_log","deaths_cum_per_million","deaths_cum_per_million_log","excess_deaths_cum_per_million","excess_deaths_cum_per_million_log","forcats..fct_explicit_na.geoid2.","relative_start","elapsed_rel","relative_start_d","elapsed_rel_d"
"1","ABW","2020-11-22","11","21","2020","326","2020-11-22","26","0","Aruba","106310","America","126.987","4724","45","3.829","44","0.047","Latin America & Caribbean","1.058","","","","0.106","6093","8252","12.522","135642458.101","588.028","","34.762","0","","","","17.802","","","","","","","","","","","","","","","","0","","","","","","","","","","0","","","","0","","","","","","","99.2","","588.028","76.01","","","","","","","","","","","","","","13.553","-2.246","6.377","","","","","","","","","","","","","-39.8","","","","","","","","","","","","","","","","","","425.15","6.055","","","ABW","83","243","242","84"
"2","AFG","2020-11-22","11","21","2020","326","2020-11-22","154","12","Afghanistan","38041757","Asia","6.204","44519","1687","7.431","1617","0.044","South Asia","-1.457","","","1.735","37.172","445283","515559","14.359","119435105.715","56.938","10.792","1.176","0.001","","0.601","8.821","43.09","-1","31.4","0.744","0.676","1","0.015","0.865","-0.516","0.142","0.423","0.139","0.581","","","","0","-0.56","","","","","1329","1329","0.001","","0","","","","0","16.5","0.23","0.769","0.272","0.751","2.292","","32.3","56.938","64.13","3.889","44.8","29.5","50","31.7","25.9","39.2","8","0.5","21","23.6","20","0","2.585","3.616","4.042","","","","","","","","","","","","","-33.4","","","","","","","","","","","19.433","6.033","","","","","","45.383","3.837","","","AFG","74","252","98","228"
"3","AGO","2020-11-22","11","21","2020","326","2020-11-22","279","3","Angola","31825299","Africa","6.881","14413","336","5.82","317","0.057","Sub-Saharan Africa","-1.052","","39.6","5.725","30.81","304406","378459","14.232","-5732491335.28","24.713","25.233","0.427","15.754","","5.002","","46.809","-2","","0.748","0.699","4","0.62","1.508","1.383","-1.173","0.603","-0.541","0.717","","","","0","-0.62","1","0","","","895","895","0.001","","0","","","","0","16.3","0.151","0.787","0.628","0.756","1.294","0","25.2","24.713","60.379","4.413","17.9","14.4","80","66","33.4","39.4","82","0.6","10.9","21.7","16","1","2.216","3.428","3.207","","","","","","","","","","","","","-27.8","","","","","","","","","","","22","32.933","","","","","","10.906","2.477","","","AGO","95","231","175","151"
"4","AIA","2020-11-22","11","21","2020","326","2020-11-22","0","0","Anguilla","14872","America","0","3","0","0","0","","","0.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.2","162.633","","","","","","","","","","AIA","","","",""
"5","ALB","2020-11-22","11","21","2020","326","2020-11-22","737","13","Albania","2862427","Europe","296.636","32196","685","6.531","612","0.111","Europe & Central Asia","0.115","77.082","","12.316","2.866","189497","204463","12.622","1204383363.605","104.612","","1.989","1.366","36.255","21.387","19.082","17.673","9","38.4","0.314","0.533","2","0.1","-0.664","0.415","1.265","0.737","2.143","0.655","","","","0","0.209","3","0","","","471","471","0.002","","0","","","","0","32.9","0.43","0.22","0.472","0.097","2.168","23.6","52.9","104.612","78.333","2.863","74.3","128.6","290","97.2","75.4","97.7","314","0.8","35.9","52","1","1","13.744","1.053","4.65","","","","","","","","","","","","","","","","","","","","","","","","19.233","41.767","","","","","","238.978","5.481","","","ALB","70","256","88","238"
"6","AND","2020-11-22","11","21","2020","326","2020-11-22","65","0","Andorra","76177","Europe","1165.706","6207","76","4.344","75","0.013","Europe & Central Asia","1.945","","","","0.077","","","","","163.843","","59.714","","","","","","","30.686","","","","","","","","","","","","20.662","","0","","","","","","1122","1122","0.001","","0","","","","0","","","0.714","0.233","","","","30.5","163.843","","4.197","14.2","369","250","100","94.7","100","2446","0.9","9.2","30.5","","","","-2.564","5.099","","","","","","","","","","","","","","","","","","","","","","","","15.1","110.167","","","","","","986.936","6.896","","","AND","76","250","91","235"
"7","ARE","2020-11-22","11","21","2020","326","2020-11-22","1262","1","United Arab Emirates","9770526","Asia","171.465","157785","548","6.308","528","0.036","Middle East & North Africa","1.431","161.84","","66.616","9.631","68980","35562","18.375","10385286000","135.609","59.972","88.404","13.131","","6.81","","14.604","-8","","0.211","0.422","0","0","-2.861","-1.882","1.815","0.376","1.888","0.124","","","","0","-0.498","1","0","","","","2000","0","","0","87","","","0","30","0.097","0.625","0.331","0.737","0.348","100","46.7","135.609","77.647","3.288","31.6","155.8","120","90","70.3","100","1845","0.9","22.9","49.7","5","","1.085","2.265","4.91","","","","","","","","","","","","","-50.2","","","","","","","","","","","32.767","0.8","","","","","","56.9","4.059","","","ARE","52","274","95","231"
"8","ARG","2020-11-22","11","21","2020","326","2020-11-22","7143","112","Argentina","44780675","America","288.81","1366169","36902","10.516","35307","0.05","Latin America & Caribbean","0.026","30.7","29.9","18.288","44.495","2021288","2925564","16.71","11872856662.765","16.259","43.008","4.805","0.736","30.591","35.072","19.762","24.761","9","38.325","0.059","0.115","1","0.015","2.067","1.649","0.991","0.824","0.291","0.367","","18.619","22.601","0","0.738","4","2","599","1325","599","599","0.002","","0","","","","0","31.1","0.67","0.255","0.224","0.255","2.955","96.8","58.6","16.259","76.372","3.433","74.9","390.7","500","99.1","68.1","94.8","1140","0.8","54.9","50.6","3","1","11.118","3.795","2.789","","","","","","","","","","","","","-56","","","","","","","","","","","12.9","38.367","","","","","","829.361","6.722","","","ARG","68","258","86","240"
"9","ARM","2020-11-22","11","21","2020","326","2020-11-22","1385","21","Armenia","2957728","Europe","669.433","126224","1952","7.577","1763","0.111","Europe & Central Asia","-0.024","91.289","29.2","9.178","2.952","130888","201290","","254146163.557","103.68","36.599","6.336","0","54.751","0.726","28.396","20.633","7","36.737","0.041","0.081","2","0.014","1.422","1.127","1.742","0.894","1.448","0.227","","10.018","41.076","0","0.209","2","0","","1817","","1817","0.001","","0","","","","0","32.7","0.233","0.127","0.458","0.134","1.774","100","50.2","103.68","74.797","2.892","60.8","280.3","420","99.7","70.7","91.6","144","0.8","25.7","55.5","6","1","11.253","1.082","4.641","","","","","","","","","","","","","","","","","","","","","","","","16.167","34.1","","","","","","661.297","6.496","","","ARM","73","253","99","227"
"10","ATG","2020-11-22","11","21","2020","326","2020-11-22","0","0","Antigua & Barbuda","97115","America","8.238","139","4","1.609","4","0","Latin America & Caribbean","-0.006","","","23.841","0.096","3904","4570","13.271","135127898.77","218.832","","30.586","0","","","","22.081","","","","","","","","","","","","","","","","0","","","","","","1115","1115","0.001","","0","","","","0","30.5","","0.164","0.684","","","51.1","29","218.832","76.752","3.271","19.1","15.8","380","99","69.8","87.5","591","0.8","7.4","21.7","","","8.801","-2.34","5.388","","","","","","","","","","","","","-42","","","","","","","","","","","27.5","243.2","","","","","","41.543","3.751","","","ATG","94","232","",""
"11","AUS","2020-11-22","11","21","2020","326","2020-11-22","18","0","Australia","25203200","Oceania","0.615","27807","907","6.811","907","0","East Asia & Pacific","1.596","43.192","","45.378","24.983","1837298","2074185","18.142","60337583596.541","3.249","60.868","28.218","0.212","","","","19.191","10","32.471","0.282","0.495","1","0.02","1.048","1.049","1.383","0.898","2.861","0.041","46.506","54.434","31.768","0","0.514","6","2","811","","811","811","0.001","7.031","0","","6","","0","37.2","0.835","0.093","0.821","0.149","3.814","100","75.5","3.249","82.498","3.883","97.3","349.6","380","99.9","95.9","100","3094","0.9","63.5","65.9","2","1","15.657","3.218","1.178","","","","","","","","","","","","","-28.8","","","","","","","","","","","19.967","18.9","","","","","","36.305","3.619","","","AUS","32","294","85","241"
